contig_id,proteins
Achromobacter~phage~83-24,61
Achromobacter~phage~JWAlpha,91
Achromobacter~phage~JWF,118
Achromobacter~phage~JWX,67
Achromobacter~phage~phiAxp-1,64
Achromobacter~phage~phiAxp-2,86
Achromobacter~phage~phiAxp-3,80
Acidovorax~phage~ACP17,253
Acinetobacter~phage~AB1,85
Acinetobacter~phage~AB3,29
Acinetobacter~phage~AM101,250
Acinetobacter~phage~AbKT21phiIII,42
Acinetobacter~phage~AbP2,88
Acinetobacter~phage~AbTZA1,253
Acinetobacter~phage~Abp1,54
Acinetobacter~phage~Ac42,255
Acinetobacter~phage~Acj61,241
Acinetobacter~phage~Acj9,253
Acinetobacter~phage~Fri1,54
Acinetobacter~phage~IME-AB2,82
Acinetobacter~phage~IME200,54
Acinetobacter~phage~KARL-1,253
Acinetobacter~phage~LZ35,83
Acinetobacter~phage~Petty,45
Acinetobacter~phage~Presley,95
Acinetobacter~phage~SH-Ab~15519,51
Acinetobacter~phage~WCHABP1,89
Acinetobacter~phage~WCHABP12,88
Acinetobacter~phage~WCHABP5,47
Acinetobacter~phage~YMC-13-01-C62,84
Acinetobacter~phage~YMC11/11/R3177,80
Acinetobacter~phage~YMC11/12/R2315,85
Acinetobacter~phage~YMC13/03/R2096,162
Acinetobacter~phage~ZZ1,256
Acinetobacter~phage~phiAB1,46
Acinetobacter~phage~phiAB6,45
Acinetobacter~phage~phiAC-1,82
Acinetobacter~phage~vB_AbaM_Acibel004,156
Acinetobacter~phage~vB_AbaM_B09_Aci01-1,163
Acinetobacter~phage~vB_AbaM_B09_Aci02-2,171
Acinetobacter~phage~vB_AbaM_B09_Aci05,160
Acinetobacter~phage~vB_AbaM_PhT2,246
Acinetobacter~phage~vB_AbaM_phiAbaA1,165
Acinetobacter~phage~vB_AbaP_46-62_Aci07,52
Acinetobacter~phage~vB_AbaP_AS11,51
Acinetobacter~phage~vB_AbaP_AS12,49
Acinetobacter~phage~vB_AbaP_Acibel007,53
Acinetobacter~phage~vB_AbaP_Apostate,244
Acinetobacter~phage~vB_AbaP_B09_Aci08,53
Acinetobacter~phage~vB_AbaP_B1,51
Acinetobacter~phage~vB_AbaP_B3,49
Acinetobacter~phage~vB_AbaP_B5,53
Acinetobacter~phage~vB_AbaP_Berthold,250
Acinetobacter~phage~vB_AbaP_D2,47
Acinetobacter~phage~vB_AbaP_Kimel,252
Acinetobacter~phage~vB_AbaP_Konradin,249
Acinetobacter~phage~vB_AbaP_Lazarus,247
Acinetobacter~phage~vB_AbaP_PD-6A3,48
Acinetobacter~phage~vB_AbaP_PD-AB9,48
Acinetobacter~phage~vB_AbaS_TRS1,70
Acinetobacter~phage~vB_ApiP_P1,49
Acinetobacter~phage~vB_ApiP_P2,54
Actinoplanes~phage~phiAsp2,76
Aeribacillus~phage~AP45,73
Aeromonas~phage~2-L372D,217
Aeromonas~phage~25AhydR2PP,51
Aeromonas~phage~2_L372X,211
Aeromonas~phage~4_L372D,251
Aeromonas~phage~4_L372XY,221
Aeromonas~phage~AS-gz,237
Aeromonas~phage~AS-sw,406
Aeromonas~phage~AS-zj,402
Aeromonas~phage~Aes012,243
Aeromonas~phage~Aes508,234
Aeromonas~phage~AhSzq-1,143
Aeromonas~phage~AhSzw-1,141
