name,idx
Achromobacter phage JWX,0
Achromobacter phage 83-24,1
Pseudomonas phage LKO4,10
Salmonella phage 37,100
Bacillus phage TP21-L,1000
Staphylococcus phage CNPx,1001
Streptococcus phage IC1,1002
Streptococcus phage K13,1003
Streptococcus phage phiARI0462,1004
Brevibacillus phage Abouo,1005
Streptococcus phage phiARI0468-2,1006
Brevibacillus phage Sundance,1007
Clostridium phage c-st,1008
Clostridium phage phiCD211,1009
Salmonella phage BP12C,101
Geobacillus virus E3,1010
Lactococcus phage 949,1011
Lactococcus phage AM4,1012
Lactococcus phage LW81,1013
Lactococcus phage P1048,1014
Lactococcus phage WRP3,1015
Lactococcus phage phiL47,1016
Staphylococcus phage SPbeta-like,1017
Clostridium phage phiCD6356,1018
Bacillus phage vB_BhaS-171,1019
Salmonella phage BSPM4,102
Erysipelothrix phage SE-1,1020
Listeria phage B025,1021
Listeria phage LP-030-2,1022
Listeria phage LP-101,1023
Listeria phage LP-HM00113468,1024
Listeria phage vB_LmoS_188,1025
Staphylococcus phage 23MRA,1026
Staphylococcus phage IME-SA4,1027
Staphylococcus phage IME1361_01,1028
Staphylococcus phage P1105,1029
Salmonella phage KFS-SE1,103
Staphylococcus phage P282,1030
Staphylococcus phage P630,1031
Staphylococcus phage P954,1032
Staphylococcus phage SA1014ruMSSAST7,1033
Staphylococcus phage StauST398-4,1034
Staphylococcus phage phiBU01,1035
Staphylococcus phage phiNM3,1036
Staphylococcus phage phiRS7,1037
Staphylococcus phage phiSa119,1038
Staphylococcus phage phiSa2wa_st22,1039
Salmonella phage ST-101,104
Streptococcus phage phi3396,1040
Streptococcus phage PH10,1041
Streptococcus phage phiARI0131-2,1042
Enterobacteria phage IME10,1043
Bacteriophage APSE-2,1044
Enterobacteria phage Sf101,1045
Enterobacteria phage SfV,1046
Enterobacteria phage UAB_Phi20,1047
Escherichia phage C130_2,1048
Escherichia phage Skarpretter,1049
Salmonella phage Siskin,105
Escherichia phage Sortsne,1050
Klebsiella phage vB_KpnS_IME279,1051
Salmonella phage 118970_sal4,1052
Salmonella phage Lumpael,1053
Salmonella phage SEN22,1054
Salmonella phage SPN9CC,1055
Salmonella phage ST160,1056
Salmonella phage UPF_BP1,1057
Salmonella phage epsilon34,1058
Salmonella phage vB_SemP_Emek,1059
Staphylococcus phage SA1,106
Shigella phage SfIV,1060
Sodalis phage phiSG1,1061
Vibrio phage PVA1,1062
Xylella phage Xfas53,1063
Burkholderia phage KL3,1064
Bacteriophage R18C,1065
Burkholderia phage KS14,1066
Burkholderia phage KS5,1067
Burkholderia phage ST79,1068
Burkholderia phage vB_BceM_AP3,1069
Campylobacter phage CP30A,107
Cronobacter phage ESSI-2,1070
Enterobacter phage Arya,1071
Enterobacter phage phiT5282H,1072
Enterobacteria phage P88,1073
Enterobacteria phage fiAA91-ss,1074
Erwinia phage ENT90,1075
Erwinia phage EtG,1076
Escherichia phage 186,1077
Escherichia phage Wphi,1078
Escherichia phage pro147,1079
Acidovorax phage ACP17,108
Escherichia phage pro483,1080
Escherichia phage vB_EcoM-12474III,1081
Escherichia phage vB_EcoM-ep3,1082
Escherichia phage vB_EcoM_ECO1230-10,1083
Escherichia phage vB_EcoM_ECOO78,1084
Klebsiella phage 3 LV-2017,1085
Klebsiella phage 4 LV-2017,1086
Klebsiella phage ST13-OXA48phi12.1,1087
Klebsiella phage ST147-VIM1phi7.1,1088
Klebsiella phage ST15-OXA48phi14.1,1089
Campylobacter phage PC14,109
Klebsiella phage ST16-OXA48phi5.4,1090
Klebsiella phage ST437-OXA245phi4.1,1091
Klebsiella phage ST437-OXA245phi4.2,1092
Klebsiella phage ST512-KPC3phi13.2,1093
Mannheimia phage vB_MhM_1127AP1,1094
Mannheimia phage vB_MhM_587AP1,1095
Pseudoalteromonas phage C5a,1096
Pseudomonas phage Dobby,1097
Pseudomonas phage phi3,1098
Ralstonia phage RsoM1USA,1099
Pseudomonas phage MP1412,11
Campylobacter phage vB_CjeM_Los1,110
Salinivibrio phage SMHB1,1100
Salmonella phage FSL SP-004,1101
Salmonella phage RE-2010,1102
Salmonella phage SEN1,1103
Salmonella phage SEN4,1104
Salmonella phage SEN5,1105
Salmonella phage SEN8,1106
Salmonella phage SI7,1107
Salmonella phage SW9,1108
Stenotrophomonas phage Smp131,1109
Caulobacter phage Cr30,111
Vibrio phage 1.202.O._10N.222.45.E8,1110
Vibrio phage VHML,1111
Vibrio phage VPUSM 8,1112
Vibrio phage vB_ValM-yong1,1113
Vibrio phage vB_VpaM_MAR,1114
Nodularia phage vB_NspS-kac65v151,1115
Bacteriophage vB_NpeS-2AV2,1116
Nodularia phage vB_NspS-kac68v161,1117
Planktothrix phage PaV-LD,1118
Bacteroides phage B40-8,1119
Cyanophage P-TIM40,112
Bacteroides phage B124-14,1120
Croceibacter phage P2559S,1121
Flavobacterium phage Fpv10,1122
Flavobacterium phage Fpv11,1123
Flavobacterium phage Fpv5,1124
Flavobacterium phage Fpv6,1125
Flavobacterium phage Fpv7,1126
Flavobacterium phage Fpv8,1127
Flavobacterium phage vB_FspS_tant8-1,1128
Dinoroseobacter phage vB_DshS-R5C,1129
Cyanophage S-TIM4,113
